Date,Open,High,Low,Close,Volume
2017/10/23,989.52002,989.52002,966.119995,968.450012,1478400
2017/10/24,970,972.22998,961,970.539978,1212200
2017/10/25,968.369995,976.090027,960.52002,973.330017,1211300
2017/10/26,980,987.599976,972.200012,972.559998,2042100
2017/10/27,1009.190002,1048.390015,1008.200012,1019.27002,5167700
2017/10/30,1014,1024.969971,1007.5,1017.109985,2085100
2017/10/31,1015.219971,1024,1010.419983,1016.640015,1330700
2017/11/1,1017.210022,1029.670044,1016.950012,1025.5,1373400
2017/11/2,1021.76001,1028.089966,1013.01001,1025.579956,1049000
2017/11/3,1022.109985,1032.650024,1020.309998,1032.47998,1076400
2017/11/6,1028.98999,1034.869995,1025,1025.900024,1125200
2017/11/7,1027.27002,1033.969971,1025.130005,1033.329956,1112300
2017/11/8,1030.52002,1043.521973,1028.449951,1039.849976,1088700
2017/11/9,1033.98999,1033.98999,1019.666016,1031.26001,1245200
2017/11/10,1026.459961,1030.76001,1025.280029,1028.069946,720000
2017/11/13,1023.419983,1031.579956,1022.570007,1025.75,885800
2017/11/14,1022.590027,1026.810059,1014.150024,1026,959200
2017/11/15,1019.210022,1024.089966,1015.419983,1020.909973,854000
2017/11/16,1022.52002,1035.920044,1022.52002,1032.5,1129700
2017/11/17,1034.01001,1034.420044,1017.75,1019.090027,1397100
2017/11/20,1020.26001,1022.609985,1017.5,1018.380005,898200
